Username,Followers,Following,Posts,Ratio,Score,Verdict,Why
x____ajay___verma____00,7,8239,3,1177.0,99,BOT,follows 1177x more than follow it back
x__akash_._s_,10,7025,0,702.5,99,BOT,follows 702x more than follow it back
xx__rx__prashant__handikera__x,22,1777,0,80.8,99,BOT,follows 81x more than follow it back
y.__.ra78,62,7689,7,124.0,99,BOT,follows 124x more than follow it back
yash__55555__,10,5207,0,520.7,99,BOT,follows 521x more than follow it back
yashlodu123,3,616,0,205.3,99,BOT,follows 205x more than follow it back
yayaya212._,5,923,0,184.6,99,BOT,follows 185x more than follow it back
yesbro9119,9,3724,3,413.8,99,BOT,follows 414x more than follow it back
you.andme.oneday,22,2550,1,115.9,99,BOT,follows 116x more than follow it back
you_love_my_land,2,1850,0,925.0,99,BOT,follows 925x more than follow it back
yourboosterrr,13,1850,0,142.3,99,BOT,follows 142x more than follow it back
yuvraj_gaming87,30,6725,16,224.2,99,BOT,follows 224x more than follow it back
zebr.a503976,1,1110,0,1110.0,99,BOT,follows 1110x more than follow it back
zebra.2995079,2,1057,0,528.5,99,BOT,follows 528x more than follow it back
zebra.34145567,5,2013,0,402.6,99,BOT,follows 403x more than follow it back
zebra.52248790,24,11000,6,458.3,99,BOT,follows 458x more than follow it back
zebra.5419437,6,1029,0,171.5,99,BOT,follows 172x more than follow it back
zebra.6403232,35,11000,1,314.3,99,BOT,follows 314x more than follow it back
zidane65315,17,8647,0,508.6,99,BOT,follows 509x more than follow it back
ziddigirl111188,8,1019,0,127.4,99,BOT,follows 127x more than follow it back
zkh__43,22,10000,0,454.5,99,BOT,follows 455x more than follow it back
zmmmtx,0,11000,0,999.0,99,BOT,follows 999x more than follow it back
zoro.the.pitbull,54,5292,116,98.0,99,BOT,follows 98x more than follow it back
zoya.786662026,8,1867,1,233.4,99,BOT,follows 233x more than follow it back
zuk__loft,21,8617,2,410.3,99,BOT,follows 410x more than follow it back
zyorayt,7,954,8,136.3,99,BOT,follows 136x more than follow it back
102030ns_,221,11000,0,49.8,95,BOT,"ratio 50x, only 0 posts"
25.410732,23,911,12,39.6,95,BOT,"ratio 40x, only 12 posts"
774r5,385,13000,0,33.8,95,BOT,"ratio 34x, only 0 posts"
_.rahul_.acharya_.07,16,412,1,25.8,95,BOT,"ratio 26x, only 1 posts"
__aasif_khan_0010,120,5262,0,43.9,95,BOT,"ratio 44x, only 0 posts"
__thakurainnn__916,107,3683,0,34.4,95,BOT,"ratio 34x, only 0 posts"
_riya_.raj_63,41,1578,0,38.5,95,BOT,"ratio 38x, only 0 posts"
_singh_jii_1st,316,14000,0,44.3,95,BOT,"ratio 44x, only 0 posts"
a__m__a__r__a__kumar,548,22000,4,40.1,95,BOT,"ratio 40x, only 4 posts"
aditiya.tewatia,109,3081,0,28.3,95,BOT,"ratio 28x, only 0 posts"
aliiisahiil,742,14000,1,18.9,95,BOT,"ratio 19x, only 1 posts"
aman__shah__000786,248,8346,0,33.7,95,BOT,"ratio 34x, only 0 posts"
anilkardile26,377,12000,0,31.8,95,BOT,"ratio 32x, only 0 posts"
anisanis201062,51,2222,5,43.6,95,BOT,"ratio 44x, only 5 posts"
ankushraja123139,493,7506,0,15.2,95,BOT,"ratio 15x, only 0 posts"
arif_sameja_at,99,1812,0,18.3,95,BOT,"ratio 18x, only 0 posts"
arishfa_khan________9,55,1523,2,27.7,95,BOT,"ratio 28x, only 2 posts"
aryh9903,94,3445,0,36.6,95,BOT,"ratio 37x, only 0 posts"
ashutosh_nath4,126,3747,16,29.7,95,BOT,"ratio 30x, only 16 posts"
basuking1041,495,13000,3,26.3,95,BOT,"ratio 26x, only 3 posts"
bat.8010590,169,5525,0,32.7,95,BOT,"ratio 33x, only 0 posts"
batman03146,133,1624,0,12.2,95,BOT,"no posts, follows 1624"
bear.68137091,106,4653,0,43.9,95,BOT,"ratio 44x, only 0 posts"
call_me._king._,223,3429,0,15.4,95,BOT,"ratio 15x, only 0 posts"
call_me_mantle_0111,1404,4274,0,3.0,95,BOT,"no posts, follows 4274"
chameleon.4477908,153,6748,0,44.1,95,BOT,"ratio 44x, only 0 posts"
chameleon.55692553,145,6934,0,47.8,95,BOT,"ratio 48x, only 0 posts"
chipmunk.56638722,153,3574,0,23.4,95,BOT,"ratio 23x, only 0 posts"
cute.__boy__003,22,1030,2,46.8,95,BOT,"ratio 47x, only 2 posts"
cute_don___70,493,7364,0,14.9,95,BOT,"no posts, follows 7364"
cute_girl098764321,95,1354,0,14.3,95,BOT,"no posts, follows 1354"
dabba_1717,108,4760,0,44.1,95,BOT,"ratio 44x, only 0 posts"
dada8080vishal,501,12000,0,24.0,95,BOT,"ratio 24x, only 0 posts"
dangers_lovely_girl,1332,39000,6,29.3,95,BOT,"ratio 29x, only 6 posts"
daxesh2979,367,5824,2,15.9,95,BOT,"ratio 16x, only 2 posts"
deepak257235,160,6724,0,42.0,95,BOT,"ratio 42x, only 0 posts"
deepanshu.jatav.9719,189,7962,0,42.1,95,BOT,"ratio 42x, only 0 posts"
deer.50873791,433,4164,0,9.6,95,BOT,"no posts, follows 4164"
dev_bharwad__0009,1346,8258,0,6.1,95,BOT,"no posts, follows 8258"
djdjddjwuru383,94,1566,0,16.7,95,BOT,"ratio 17x, only 0 posts"
dk_ni_diwani_2308,128,2027,0,15.8,95,BOT,"ratio 16x, only 0 posts"
dragon.6736288,389,6700,0,17.2,95,BOT,"ratio 17x, only 0 posts"
fanny_loyal_005,167,3483,0,20.9,95,BOT,"ratio 21x, only 0 posts"
fardeen_shaikh_17,1342,14000,0,10.4,95,BOT,"no posts, follows 14000"
fk9104745,102,4701,0,46.1,95,BOT,"ratio 46x, only 0 posts"
gal.inamihailova,10,391,0,39.1,95,BOT,"ratio 39x, only 0 posts"
giraffe.1380740,2400,11000,0,4.6,95,BOT,"no posts, follows 11000"
gitarhero_69,326,3907,0,12.0,95,BOT,"no posts, follows 3907"
goat.5832338,107,3008,0,28.1,95,BOT,"ratio 28x, only 0 posts"
goat.6140878,317,14000,0,44.2,95,BOT,"ratio 44x, only 0 posts"
